200 32
9 31 1
12 27 1
29 5 1
14 34 1
29 33 1
10 14 1
24 10 1
7 23 1
35 27 1
6 24 1
23 21 1
35 33 1
1 9 1
26 7 1
29 12 1
26 35 1
24 26 1
29 24 1
24 35 1
5 9 1
35 24 1
29 9 1
23 14 1
12 27 1
23 34 1
36 9 1
10 34 1
24 26 1
33 23 1
19 29 1
35 19 1
23 36 1
6 23 1
12 24 1
1 14 1
31 9 1
29 35 1
5 34 1
27 36 1
9 12 1
12 35 1
9 19 1
36 10 1
1 31 1
14 1 1
36 24 1
9 19 1
31 9 1
23 31 1
5 24 1
5 31 1
29 14 1
12 26 1
5 7 1
9 12 1
33 23 1
12 5 1
33 27 1
24 27 1
23 5 1
35 21 1
31 27 1
35 27 1
35 26 1
33 31 1
27 23 1
5 33 1
26 31 1
5 26 1
27 21 1
33 10 1
7 33 1
21 27 1
29 26 1
10 24 1
26 34 1
35 9 1
24 21 1
36 7 1
29 5 1
34 21 1
9 24 1
31 35 1
23 31 1
23 29 1
36 21 1
21 1 1
33 29 1
26 33 1
9 35 1
26 35 1
21 12 1
24 14 1
6 35 1
24 10 1
14 10 1
10 7 1
27 34 1
24 34 1
34 21 1
27 34 2
1 33 2
23 1 2
1 31 2
10 7 2
7 34 2
35 5 2
34 21 2
34 14 2
1 21 2
1 5 2
6 19 2
6 26 2
31 33 2
5 33 2
31 1 2
36 33 2
5 31 2
26 10 2
7 36 2
29 27 2
34 19 2
31 33 2
24 26 2
9 35 2
9 19 2
24 10 2
14 24 2
24 5 2
23 36 2
27 31 2
29 36 2
9 6 2
21 10 2
10 36 2
6 9 2
14 19 2
27 10 2
19 31 2
1 34 2
36 21 2
33 31 2
35 21 2
12 31 2
24 29 2
10 5 2
19 24 2
27 7 2
19 24 2
34 19 2
21 23 2
35 23 2
26 5 2
19 24 2
10 14 2
5 19 2
7 29 2
35 9 2
31 35 2
19 23 2
19 35 2
27 35 2
35 12 2
12 21 2
27 9 2
36 14 2
9 23 2
33 5 2
5 19 2
7 31 2
10 6 2
33 6 2
21 5 2
12 19 2
19 24 2
14 31 2
19 31 2
12 35 2
29 34 2
7 14 2
19 31 2
24 6 2
21 27 2
19 6 2
23 12 2
23 19 2
9 29 2
35 29 2
7 10 2
24 9 2
10 19 2
27 14 2
35 7 2
9 36 2
26 27 2
6 10 2
36 19 2
34 36 2
24 31 2
5 24 2
